0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
,,,,,,,N,P,K,S,Zn,B,Mo,Mg,N,,,,,,P,,,,,,K,,,,,,S,,,,,,Zn,,,,,,B,,,,,,Mo,,,,,,Mg,,,,,,0
Boro Rice,7.5,±,0.75,,Boro Rice7.5,1,60,8,38,6,1.3,,,,240,180,120,60,,,32,24,16,8,,,152,114,76,38,,,24,18,12,6,,,3.9,2.6,1.3,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Boro Rice,6,±,0.6,,Boro Rice6,2,48,7,30,5,1,,,,192,144,96,48,,,28,21,14,7,,,120,90,60,30,,,20,15,10,5,,,3,2,1,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Boro Rice,5,±,0.5,,Boro Rice5,3,40,6,25,4,0.8,,,,160,120,80,40,,,24,18,12,6,,,100,75,50,25,,,16,12,8,4,,,2.4,1.6,0.8,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Boro Rice,3.5,±,0.35,,Boro Rice3.5,4,23,4,14,3,0.6,,,,92,69,46,23,,,16,12,8,4,,,56,42,28,14,,,12,9,6,3,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
T. Aus Rice,4,±,0.4,,T. Aus Rice4,1,32,4,20,3,0.7,,,,128,96,64,32,,,16,12,8,4,,,80,60,40,20,,,12,9,6,3,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
T. Aus Rice,3.5,±,0.35,,T. Aus Rice3.5,2,22,4,15,3,0.6,,,,88,66,44,22,,,16,12,8,4,,,60,45,30,15,,,12,9,6,3,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
B. Aus Rice,3.5,±,0.35,,B. Aus Rice3.5,1,17,4,11,3,0.6,,,,68,51,34,17,,,16,12,8,4,,,44,33,22,11,,,12,9,6,3,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
B. Aus Rice,2.5,±,0.25,,B. Aus Rice2.5,2,10,3,8,2,0.5,,,,40,30,20,10,,,12,9,6,3,,,32,24,16,8,,,8,6,4,2,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
T. Aman Rice,5,±,0.5,,T. Aman Rice5,1,30,5,25,4,0.8,,,,120,90,60,30,,,20,15,10,5,,,100,75,50,25,,,16,12,8,4,,,2.4,1.6,0.8,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
T. Aman Rice,4,±,0.4,,T. Aman Rice4,2,24,4,20,3,0.7,,,,96,72,48,24,,,16,12,8,4,,,80,60,40,20,,,12,9,6,3,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
T. Aman Rice,3,±,0.3,,T. Aman Rice3,3,18,3,15,3,0.6,,,,72,54,36,18,,,12,9,6,3,,,60,45,30,15,,,12,9,6,3,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
